Date,Page 1,Page 2,Mean Temperature,Surface Pressure,Ozone
1949-01-01,84,76.2,3.7,996.1,318
1949-02-01,81,64.8,2.5,989.8,347
1949-03-01,83,127.3,1.4,1011,370
1949-04-01,86,76.2,5.6,1002.1,394
1949-05-01,83,166.6,10.1,1017.1,360
1949-06-01,78,47.8,11.8,1017.2,347
1949-07-01,79,165.1,21.9,1013.4,334
1949-08-01,79,92.5,20.8,1010,299
1949-09-01,76,49.5,16.4,1009.3,292
1949-10-01,85,227.1,9.6,1004.5,287
1949-11-01,83,79.2,3.9,999.4,293
1949-12-01,87,82.6,6.8,998.8,281
1950-01-01,80,12.2,9.5,1001.5,357
1950-02-01,80,122.4,1.4,996.3,364
1950-03-01,83,14.5,4.3,1006.5,399
1950-04-01,90,77.5,7.5,1005.6,382
1950-05-01,72,150.4,10.5,1019.9,390
1950-06-01,79,66,19.1,1009.6,374
1950-07-01,78,46.7,19.6,1009.7,335
1950-08-01,86,10.4,20.5,1005,319
1950-09-01,82,145.8,14.4,999.6,309
1950-10-01,88,82.3,11.3,1002.5,312
1950-11-01,90,118.1,3.4,1004.8,311
1950-12-01,87,72.1,0.6,1010.4,337
1951-01-01,89,43.2,7.6,998.6,334
1951-02-01,86,73.7,6.5,998.9,321
1951-03-01,85,55.9,0.9,1016.4,392
1951-04-01,83,54.9,8.9,1016.1,358
1951-05-01,74,55.1,14.6,1019.6,365
1951-06-01,79,36.6,16.2,1017,355
1951-07-01,76,96.5,19.7,1008.7,328
1951-08-01,85,33.8,19.2,1006.8,321
1951-09-01,87,138.4,16.6,1005.9,282
1951-10-01,81,31.5,9.4,1001.3,287
1951-11-01,85,127,5,1007,291
1951-12-01,83,31.8,5.6,988,297
1952-01-01,86,85.9,5.5,997.6,332
1952-02-01,84,98,6.1,1009.4,390
1952-03-01,83,174.5,0.7,1011.5,367
1952-04-01,86,45,7.8,1003.4,383
1952-05-01,75,40.6,14.6,1019.1,375
1952-06-01,80,22.1,17.2,1011.8,319
1952-07-01,77,155.4,20.9,1010.9,331
1952-08-01,79,118.9,18.4,1010.8,311
1952-09-01,79,87.9,15.3,1014.5,288
1952-10-01,78,51.3,9.4,1003.5,275
1952-11-01,82,62.7,1.5,1013,299
1952-12-01,83,187.2,1.8,1008.7,313
1953-01-01,80,93.2,5.2,1002.8,329
1953-02-01,80,100.1,5.2,1004.5,393
1953-03-01,76,66.8,2,1008.1,398
1953-04-01,87,115.3,8.8,1016,384
1953-05-01,73,40.4,15.4,1016.8,373
1953-06-01,72,154.7,19.9,1011,352
1953-07-01,82,223.5,22.8,1009.1,328
1953-08-01,82,162.3,19.4,1005.8,315
1953-09-01,78,154.9,15.9,1003.9,303
1953-10-01,77,38.9,6.8,997.6,310
1953-11-01,84,63.2,4.3,991.7,298
1953-12-01,75,53.6,0.2,994,307
1954-01-01,78,21.3,5.3,1006.4,347
1954-02-01,80,82.8,6.5,999.5,352
1954-03-01,83,117.6,0.4,1004.1,395
1954-04-01,74,21.1,6.6,1012.5,382
1954-05-01,78,43.7,14.5,1019,365
1954-06-01,79,93.7,18.1,1010.8,349
1954-07-01,82,52.3,22.7,1006.1,324
1954-08-01,87,94,21.2,1010.6,323
1954-09-01,82,66.3,15.4,1005.1,301
1954-10-01,86,31.8,6.7,998.5,283
1954-11-01,84,34.5,4.6,992.5,280
1954-12-01,86,94.5,2.8,994.3,355
1955-01-01,81,28.2,2.2,1007,337
1955-02-01,83,54.1,6.6,1014.5,370
1955-03-01,78,147.3,0.7,1018.2,325
1955-04-01,77,98.3,5,1008.2,392
1955-05-01,75,4.8,13.1,1015.3,384
1955-06-01,75,118.4,18.4,1011.8,336
1955-07-01,67,93.5,21.3,1007.1,325
1955-08-01,70,69.9,19.3,1004.8,325
1955-09-01,76,50.8,15,998.8,296
1955-10-01,81,148.1,9.5,1011.1,280
1955-11-01,82,47,2,1012.8,285
1955-12-01,83,32.5,9.9,1003.9,299
1956-01-01,80,72.6,1.4,1005,320
1956-02-01,78,90.2,6.6,1016.4,341
1956-03-01,72,31.2,1.8,1005.2,385
1956-04-01,83,71.9,8.1,1015,347
1956-05-01,75,63.5,11.5,1003.4,382
1956-06-01,72,53.1,17.7,1013.8,339
1956-07-01,80,75.4,20,1012.1,331
1956-08-01,81,146.1,19.5,1014.2,313
1956-09-01,79,20.1,15,1008.8,286
1956-10-01,78,150.1,9.1,1001.4,304
1956-11-01,73,120.9,4.8,998.2,284
1956-12-01,80,82.8,1.4,995.4,309
1957-01-01,81,52.1,6,989.6,387
1957-02-01,92,69.9,2.2,1007.1,400
1957-03-01,87,85.1,1.5,1007.9,418
1957-04-01,69,97,8.8,1011.5,430
1957-05-01,71,88.6,16.8,1019.3,403
1957-06-01,71,68.3,19.7,1018.3,388
1957-07-01,79,135.4,20.8,1015.5,346
1957-08-01,80,38.4,20.7,1008.8,323
1957-09-01,81,117.3,14.9,1013.5,310
1957-10-01,83,35.3,10.5,992,292
1957-11-01,73,88,1.8,1013.5,387
1957-12-01,80,110.5,2,1019.3,400